food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions
Cheese Pav Bhaji,350,10.0,45.0,15.0,Indulgence,Street Food,No Restriction
Chicken 65 Burger,320,18.0,20.0,20.0,Indulgence,Indian,No Restriction
Peanut Masala Chaat,200,8.0,15.0,12.0,Indulgence,Street Food,No Restriction
Chicken Tikka Biryani,500,25.0,60.0,20.0,Indulgence,Indian,No Restriction
Mushroom Manchurian Roll,300,10.0,25.0,18.0,Indulgence,Indo-Chinese,No Restriction
Gobi 65,250,8.0,30.0,12.0,Indulgence,Indian,No Restriction
Samosa Chaat Salad,200,5.0,25.0,10.0,Indulgence,Street Food,No Restriction
Kadai Veg Noodles,280,6.0,40.0,10.0,Indulgence,Indo-Chinese,No Restriction
Masala Dosa Wrap,350,8.0,45.0,15.0,Indulgence,South Indian,No Restriction
Punjabi Chole Burrito,300,10.0,35.0,12.0,Indulgence,North Indian,No Restriction
Pav Bhaji Tostada,380,10.0,50.0,18.0,Indulgence,Fusion,No Restriction
Aloo Gobi Quesadilla,320,8.0,35.0,15.0,Indulgence,Indian,No Restriction
Chicken Keema Naanwich,400,20.0,30.0,22.0,Indulgence,Indian,No Restriction
Dahi Puri,180,5.0,20.0,10.0,Indulgence,Street Food,No Restriction
Veggie Pizza Dosa,320,10.0,35.0,15.0,Indulgence,South Indian,No Restriction
Paneer Tikka Nachos,280,12.0,20.0,18.0,Indulgence,Indian,No Restriction
Aloo Tikki Pizza,350,10.0,45.0,12.0,Indulgence,Street Food,No Restriction
Chana Chaat Wrap,250,8.0,30.0,10.0,Indulgence,Street Food,No Restriction
Pav Bhaji Tacos,300,8.0,40.0,15.0,Indulgence,Street Food,No Restriction
Chicken 65 Quesadilla,380,18.0,30.0,22.0,Indulgence,Indian,No Restriction
Vada Pav Sliders,320,10.0,35.0,15.0,Indulgence,Street Food,No Restriction
Bhel Puri Salad,200,5.0,25.0,10.0,Indulgence,Street Food,No Restriction
Masala Maggi Waffles,250,6.0,30.0,12.0,Indulgence,Indian,No Restriction
Gulab Jamun,150,2.0,20.0,8.0,Indulgence,Sweets,No Restriction
Jalebi,200,1.0,30.0,10.0,Indulgence,Sweets,No Restriction
Rasgulla,100,2.0,25.0,1.0,Indulgence,Sweets,No Restriction
Kaju Katli,180,4.0,15.0,12.0,Indulgence,Sweets,No Restriction
Mysore Pak,250,5.0,30.0,15.0,Indulgence,Sweets,No Restriction
Rasmalai,180,5.0,20.0,10.0,Indulgence,Sweets,No Restriction
Barfi,120,3.0,15.0,8.0,Indulgence,Sweets,No Restriction
Sandesh,100,2.0,18.0,5.0,Indulgence,Sweets,No Restriction
Besan Ladoo,160,3.0,20.0,8.0,Indulgence,Sweets,No Restriction
Peda,140,2.0,25.0,6.0,Indulgence,Sweets,No Restriction
Rabri,180,4.0,25.0,10.0,Indulgence,Sweets,No Restriction
Kalaadi,160,8.0,10.0,12.0,Indulgence,Indian,No Restriction
Kesar Peda,200,3.0,30.0,8.0,Indulgence,Sweets,No Restriction
Coconut Ladoo,150,2.0,20.0,8.0,Indulgence,Sweets,No Restriction
Cham Cham,180,2.0,30.0,10.0,Indulgence,Sweets,No Restriction
Shrikhand,120,5.0,15.0,6.0,Indulgence,Sweets,No Restriction
Balushahi,220,3.0,25.0,12.0,Indulgence,Sweets,No Restriction
Kaju Anjeer Roll,250,6.0,20.0,15.0,Indulgence,Sweets,No Restriction
Gajar Halwa,200,3.0,25.0,10.0,Indulgence,Sweets,No Restriction
Chhena Poda,180,4.0,20.0,8.0,Indulgence,Sweets,No Restriction
Modak,120,2.0,25.0,5.0,Indulgence,Sweets,No Restriction
Malpua,180,3.0,30.0,10.0,Indulgence,Sweets,No Restriction
Petha,150,1.0,35.0,5.0,Indulgence,Sweets,No Restriction
Ragi Ladoo,160,4.0,20.0,8.0,Indulgence,Sweets,No Restriction
Kaju Roll,200,5.0,15.0,12.0,Indulgence,Sweets,No Restriction
Gond Ke Ladoo,220,3.0,25.0,10.0,Indulgence,Sweets,No Restriction
Ghevar,250,4.0,30.0,15.0,Indulgence,Sweets,No Restriction
Basundi,180,5.0,20.0,8.0,Indulgence,Sweets,No Restriction
Puran Poli,200,3.0,25.0,10.0,Indulgence,Sweets,No Restriction
Chana Dal Halwa,220,4.0,30.0,12.0,Indulgence,Sweets,No Restriction
Kalakand,180,6.0,20.0,10.0,Indulgence,Sweets,No Restriction
Mawa Kachori,250,5.0,30.0,12.0,Indulgence,Sweets,No Restriction
Raj Bhog,220,3.0,25.0,12.0,Indulgence,Sweets,No Restriction
Gulab Jamun Cheesecake,300,8.0,35.0,15.0,Indulgence,Sweets,No Restriction
Kaju Malai Peda,200,4.0,25.0,10.0,Indulgence,Sweets,No Restriction
Cham Cham Cupcakes,180,3.0,20.0,8.0,Indulgence,Sweets,No Restriction
Mysore Pak Ice Cream,250,5.0,30.0,12.0,Indulgence,Sweets,No Restriction
Gajar Ki Kheer,150,3.0,20.0,6.0,Indulgence,Sweets,No Restriction
Malai Sandwich,200,4.0,25.0,8.0,Indulgence,Sweets,No Restriction
Gond Ke Ladoo,220,5.0,30.0,10.0,Indulgence,Sweets,No Restriction
