food,calorie,protein,carbs,fat,Sugar,Fiber,Sodium,Vitamins,Minerals
Paneer Pakora,180,10.0,15.0,12.0,2.0,1.0,0.015,0.002,0.001
Egg Roll,250,12.0,20.0,15.0,2.0,2.0,0.01,0.006,0.002
Vada Pav,200,4.0,25.0,10.0,3.0,2.0,0.01,0.004,0.001
Schezwan Dosa,280,6.0,40.0,10.0,3.0,4.0,0.015,0.006,0.002
Ragda Pattice,350,8.0,55.0,12.0,5.0,3.0,0.02,0.008,0.003
Chana Chaat,180,5.0,30.0,5.0,4.0,3.0,0.01,0.004,0.001
Mutton Biryani,550,25.0,60.0,25.0,2.0,4.0,0.025,0.01,0.002
Paneer Tikka Pizza,400,12.0,35.0,18.0,4.0,3.0,0.02,0.01,0.002
Bhutte Ka Kees,200,5.0,30.0,8.0,2.0,3.0,0.01,0.006,0.002
Kalmi Kebab,220,18.0,10.0,15.0,1.0,2.0,0.01,0.006,0.002
Chole Bhature,450,12.0,60.0,20.0,4.0,5.0,0.025,0.008,0.003
Baida Roti,300,15.0,20.0,18.0,2.0,2.0,0.01,0.006,0.002
Dhokla,120,5.0,20.0,2.0,2.0,2.0,0.005,0.004,0.001
Mutton Roll,300,15.0,25.0,15.0,2.0,2.0,0.015,0.006,0.002
Bhurji Pav,250,10.0,15.0,18.0,3.0,2.0,0.01,0.008,0.002
Methi Thepla,200,5.0,30.0,8.0,2.0,3.0,0.01,0.006,0.002
Keema Samosa,180,8.0,15.0,10.0,2.0,1.0,0.01,0.002,0.001
Fish Curry Rice,400,20.0,40.0,15.0,2.0,4.0,0.02,0.01,0.002
Kadai Chicken,300,18.0,12.0,20.0,4.0,2.0,0.01,0.008,0.002
Mysore Pak,200,5.0,30.0,10.0,20.0,2.0,0.005,0.002,0.001
Butter Chicken,450,20.0,25.0,30.0,3.0,2.0,0.02,0.01,0.002
Palak Chaat,180,5.0,25.0,8.0,4.0,2.0,0.01,0.004,0.001
Tandoori Momos,250,12.0,20.0,12.0,3.0,2.0,0.015,0.002,0.001
Chole Samosa Chaat,250,7.0,40.0,8.0,6.0,3.0,0.015,0.004,0.001
Achari Paneer Tikka,180,12.0,10.0,14.0,2.0,2.0,0.01,0.006,0.002
Misal Pav,300,10.0,45.0,12.0,5.0,4.0,0.02,0.008,0.002
Chicken Korma,350,15.0,20.0,25.0,3.0,2.0,0.015,0.008,0.002
Dahi Ke Kebab,200,8.0,15.0,12.0,2.0,1.0,0.01,0.006,0.002
Bread Upma,220,6.0,30.0,8.0,3.0,4.0,0.01,0.004,0.001
Pav Bhaji Cones,180,5.0,25.0,10.0,4.0,2.0,0.01,0.004,0.001
Rajma Chawal Cutlet,150,6.0,20.0,6.0,2.0,3.0,0.01,0.002,0.001
Cheese Burst Pizza,400,15.0,40.0,20.0,6.0,3.0,0.025,0.01,0.002
Paneer Chilli Dosa,300,10.0,25.0,15.0,4.0,3.0,0.015,0.006,0.002
Aloo Tikki Burger,300,8.0,45.0,12.0,5.0,4.0,0.02,0.008,0.002
Fish Tikka Wrap,250,15.0,20.0,15.0,3.0,2.0,0.015,0.006,0.002
Papad Chaat,180,3.0,20.0,10.0,4.0,2.0,0.01,0.004,0.001
Mughlai Paratha,350,10.0,50.0,15.0,2.0,5.0,0.015,0.006,0.002
Veg Momos,120,5.0,15.0,6.0,1.0,2.0,0.01,0.002,0.001
Chilli Cheese Toast,200,8.0,20.0,10.0,3.0,2.0,0.015,0.002,0.001
Chicken Kathi Roll,300,15.0,25.0,18.0,2.0,2.0,0.01,0.006,0.002
Pav Bhaji Fondue,350,8.0,50.0,15.0,8.0,4.0,0.02,0.01,0.002
Poha Cutlet,180,5.0,25.0,8.0,3.0,2.0,0.01,0.004,0.001
Dal Baati Churma,400,15.0,40.0,20.0,2.0,4.0,0.025,0.01,0.002
Masala Dosa,320,10.0,40.0,15.0,6.0,3.0,0.018,0.008,0.002
Achari Chicken Roll,280,15.0,20.0,18.0,2.0,2.0,0.012,0.006,0.002
Bhindi Kurkure,180,4.0,25.0,8.0,4.0,3.0,0.01,0.004,0.001
Chapati Noodles,250,6.0,30.0,12.0,3.0,4.0,0.015,0.006,0.002
Bread Pakora Burger,300,8.0,40.0,12.0,5.0,3.0,0.02,0.008,0.002
Kheema Pav,350,18.0,20.0,25.0,3.0,2.0,0.015,0.008,0.002
Maggi Pakora,200,5.0,25.0,10.0,3.0,2.0,0.01,0.002,0.001
Palak Corn Sandwich,180,8.0,20.0,8.0,2.0,2.0,0.01,0.006,0.002
Vegetarian Momos,150,6.0,15.0,8.0,1.0,2.0,0.01,0.002,0.001
Gulab Jamun Shake,250,5.0,30.0,10.0,20.0,2.0,0.005,0.002,0.001
Paneer Frankie,300,12.0,25.0,15.0,3.0,2.0,0.012,0.006,0.002
Aloo Bonda,180,5.0,20.0,10.0,2.0,2.0,0.01,0.004,0.001
Chilli Paneer Pizza,400,15.0,35.0,20.0,5.0,3.0,0.02,0.01,0.002
Dhokla Sandwich,250,7.0,30.0,10.0,3.0,3.0,0.01,0.006,0.002
Mutton Kebab Roll,350,20.0,15.0,25.0,4.0,2.0,0.015,0.008,0.002
Rajma Pizza,300,10.0,40.0,12.0,4.0,3.0,0.02,0.008,0.003
Veg Hakka Noodles Wrap,280,8.0,35.0,12.0,2.0,4.0,0.015,0.006,0.002
Cheese Pav Bhaji,350,10.0,45.0,15.0,8.0,4.0,0.02,0.01,0.002
Chicken 65 Burger,320,18.0,20.0,20.0,3.0,2.0,0.015,0.008,0.002
Peanut Masala Chaat,200,8.0,15.0,12.0,4.0,2.0,0.01,0.004,0.001
Chicken Tikka Biryani,500,25.0,60.0,20.0,2.0,4.0,0.025,0.01,0.002
Mushroom Manchurian Roll,300,10.0,25.0,18.0,3.0,2.0,0.01,0.006,0.002
Gobi 65,250,8.0,30.0,12.0,2.0,3.0,0.015,0.006,0.002
Samosa Chaat Salad,200,5.0,25.0,10.0,4.0,2.0,0.01,0.004,0.001
Kadai Veg Noodles,280,6.0,40.0,10.0,2.0,4.0,0.015,0.002,0.001
Masala Dosa Wrap,350,8.0,45.0,15.0,3.0,5.0,0.02,0.008,0.002
Punjabi Chole Burrito,300,10.0,35.0,12.0,4.0,3.0,0.02,0.01,0.002
Pav Bhaji Tostada,380,10.0,50.0,18.0,6.0,3.0,0.025,0.008,0.002
Aloo Gobi Quesadilla,320,8.0,35.0,15.0,4.0,2.0,0.015,0.006,0.002
Chicken Keema Naanwich,400,20.0,30.0,22.0,3.0,2.0,0.015,0.008,0.002
Dahi Puri,180,5.0,20.0,10.0,3.0,2.0,0.01,0.004,0.001
Veggie Pizza Dosa,320,10.0,35.0,15.0,4.0,3.0,0.018,0.008,0.002
Paneer Tikka Nachos,280,12.0,20.0,18.0,2.0,2.0,0.012,0.006,0.002
Aloo Tikki Pizza,350,10.0,45.0,12.0,5.0,3.0,0.02,0.008,0.002
Chana Chaat Wrap,250,8.0,30.0,10.0,4.0,2.0,0.015,0.006,0.002
Pav Bhaji Tacos,300,8.0,40.0,15.0,6.0,3.0,0.02,0.01,0.002
Chicken 65 Quesadilla,380,18.0,30.0,22.0,3.0,2.0,0.015,0.008,0.002
Vada Pav Sliders,320,10.0,35.0,15.0,4.0,2.0,0.015,0.006,0.002
Bhel Puri Salad,200,5.0,25.0,10.0,3.0,2.0,0.01,0.004,0.001
Masala Maggi Waffles,250,6.0,30.0,12.0,2.0,4.0,0.015,0.002,0.001
Gulab Jamun,150,2.0,20.0,8.0,15.0,1.0,0.005,0.002,0.001
Jalebi,200,1.0,30.0,10.0,20.0,1.0,0.005,0.002,0.001
Rasgulla,100,2.0,25.0,1.0,18.0,1.0,0.005,0.002,0.001
Kaju Katli,180,4.0,15.0,12.0,12.0,2.0,0.005,0.002,0.001
Mysore Pak,250,5.0,30.0,15.0,25.0,2.0,0.005,0.002,0.001
Rasmalai,180,5.0,20.0,10.0,22.0,1.0,0.005,0.002,0.001
Barfi,120,3.0,15.0,8.0,14.0,1.0,0.005,0.002,0.001
Sandesh,100,2.0,18.0,5.0,12.0,1.0,0.005,0.002,0.001
Besan Ladoo,160,3.0,20.0,8.0,16.0,2.0,0.005,0.002,0.001
Peda,140,2.0,25.0,6.0,18.0,1.0,0.005,0.002,0.001
Rabri,180,4.0,25.0,10.0,15.0,1.0,0.005,0.002,0.001
Kalaadi,160,8.0,10.0,12.0,10.0,2.0,0.008,0.004,0.002
Kesar Peda,200,3.0,30.0,8.0,20.0,2.0,0.005,0.002,0.001
Coconut Ladoo,150,2.0,20.0,8.0,18.0,1.0,0.005,0.002,0.001
Cham Cham,180,2.0,30.0,10.0,20.0,1.0,0.005,0.002,0.001
Shrikhand,120,5.0,15.0,6.0,14.0,1.0,0.005,0.002,0.001
Balushahi,220,3.0,25.0,12.0,22.0,1.0,0.005,0.002,0.001
Kaju Anjeer Roll,250,6.0,20.0,15.0,18.0,2.0,0.005,0.002,0.001
Gajar Halwa,200,3.0,25.0,10.0,15.0,2.0,0.005,0.002,0.001
Chhena Poda,180,4.0,20.0,8.0,18.0,1.0,0.005,0.002,0.001
Modak,120,2.0,25.0,5.0,15.0,1.0,0.005,0.002,0.001
Malpua,180,3.0,30.0,10.0,20.0,1.0,0.005,0.002,0.001
Petha,150,1.0,35.0,5.0,18.0,1.0,0.005,0.002,0.001
Ragi Ladoo,160,4.0,20.0,8.0,12.0,2.0,0.005,0.002,0.001
Kaju Roll,200,5.0,15.0,12.0,18.0,2.0,0.005,0.002,0.001
Gond Ke Ladoo,220,3.0,25.0,10.0,22.0,1.0,0.005,0.002,0.001
Ghevar,250,4.0,30.0,15.0,20.0,1.0,0.005,0.002,0.001
Basundi,180,5.0,20.0,8.0,14.0,1.0,0.005,0.002,0.001
Puran Poli,200,3.0,25.0,10.0,15.0,2.0,0.005,0.002,0.001
Chana Dal Halwa,220,4.0,30.0,12.0,18.0,1.0,0.005,0.002,0.001
Kalakand,180,6.0,20.0,10.0,16.0,1.0,0.005,0.002,0.001
Mawa Kachori,250,5.0,30.0,12.0,20.0,2.0,0.005,0.002,0.001
Raj Bhog,220,3.0,25.0,12.0,18.0,1.0,0.005,0.002,0.001
Gulab Jamun Cheesecake,300,8.0,35.0,15.0,25.0,2.0,0.005,0.002,0.001
Kaju Malai Peda,200,4.0,25.0,10.0,18.0,2.0,0.005,0.002,0.001
Cham Cham Cupcakes,180,3.0,20.0,8.0,15.0,1.0,0.005,0.002,0.001
Mysore Pak Ice Cream,250,5.0,30.0,12.0,22.0,1.0,0.005,0.002,0.001
Gajar Ki Kheer,150,3.0,20.0,6.0,14.0,1.0,0.005,0.002,0.001
Malai Sandwich,200,4.0,25.0,8.0,18.0,2.0,0.005,0.002,0.001
Gond Ke Ladoo,220,5.0,30.0,10.0,20.0,1.0,0.005,0.002,0.001
